Id,Topic,Human,Normed_variability,Normed_stability,Coherence,PMI,NPMI,DS,CP,CV
0,"window server using display application font manager client set get
",3.2,0.9205801854889027,0.9385443151915199,-251.47335484120816,0.19,0.64,0.16958,0.13104,0.36599
1,"modem port printer serial mouse use software print pc card
",3.6,0.9344499336780423,0.8938357653526001,-275.5818777473223,0.21,0.73,0.30177,0.54678,0.41306
2,"bill vote power state votes system party political majority voted
",3.8,0.854175562229197,0.7929802468562881,-277.3761069338327,0.16,0.63,0.17760,0.10522,0.34565
3,"one people went didnt us came said apartment know home
",1.4,0.7598966180639207,0.768537386799157,-224.2505455544289,0.12,0.36,0.06310,-0.48588,0.51839
4,"years year city old last home ago cities days early
",2.4,0.851434284195212,0.25083426787786234,-253.20567787820886,0.09,0.25,0.20501,-0.41091,0.53116
5,"file files image format images color program display formats use
",3.6,0.9542266602320134,0.907061815068286,-228.20451962386943,0.25,0.78,0.14524,0.01354,0.40408
6,"use may used one need note must using also standard
",2.4,0.5089684295030914,0.860037595132028,-193.93371529835696,0.04,0.11,0.11531,-0.09048,0.39591
7,"said killed people dead son children women town three wife
",2.2,0.8356718364677959,0.5876873261896878,-228.34006018668362,0.16,0.58,0.16414,-0.31207,0.38233
8,"encryption technology new law enforcement privacy government protect use access
",3.4,0.7193960415210923,0.9879347987530577,-228.59930888963052,0.24,0.76,0.26684,0.32128,0.37236
9,"think package going know said jobs something made dont groups
",2.0,0.6676272240625186,0.9042515576470043,-239.40058694732238,0.07,0.17,0.04889,-0.58102,0.50278
10,"henrik questions answer question true armenians want borders answers conflict
",2.8,0.7187130063867949,0.4288023244885798,-322.9603070251409,0.09,0.29,0.17301,-0.12861,0.30532
11,"keyboard typing date pc keys normal exercises info key hand
",2.8,0.7510684084343756,0.8349484844441929,-341.93317329903357,0.12,0.46,0.09875,-0.03392,0.37305
12,"many much one may even also large however less time
",1.6,0.4271959643691999,0.8094814024645804,-177.32292389651644,0.02,0.06,0.16794,0.15559,0.32911
13,"jews jewish human rights greek turkish land state citizens world
",3.2,0.9384599070225093,0.8390113706030721,-274.57982291259674,0.17,0.63,0.17450,-0.36722,0.45140
14,"wire ground wiring neutral outlets circuit cable connected grounding conductor
",4.0,0.8035974549356765,0.9529840720753436,-243.81444637448942,0.42,1.57,0.11748,0.04386,0.45603
15,"science objective pts moral morality values system think theory vs
",2.6,0.8787321522275429,0.9037556206088367,-333.7923166917932,0.1,0.37,0.11197,-0.04246,0.41966
16,"word jewish language name words de ancient french christians became
",2.8,0.8637205242156191,0.5642377564201234,-313.5533631077648,0.07,0.28,0.11351,-0.15279,0.47608
17,"one say means mean word words meaning also must different
",1.8,0.6896512630610091,0.7182296843673712,-209.56317938076666,0.07,0.24,0.15539,0.04482,0.44001
18,"list posting group send post newsgroup posted posts address email
",3.2,0.8777908878480768,0.8884715945372519,-243.7767742552201,0.18,0.6,0.11491,0.11293,0.40467
